Iter 	incumb_est 	candid_est 	error
1 	0.000000 	1.500000 	-inf
2 	3.000000 	1.200000 	0.600000
3 	1.533333 	1.333333 	0.130435
4 	2.350000 	1.477273 	0.371373
5 	2.720000 	1.666667 	0.387255
6 	1.722222 	1.611111 	0.064516
7 	2.666667 	1.600000 	0.400000
8 	2.225000 	1.625000 	0.269663
9 	1.977778 	1.756614 	0.111824
10 	2.333333 	1.960000 	0.160000
11 	2.027273 	1.844156 	0.090327
12 	2.033333 	1.756410 	0.136192
13 	1.952663 	1.753846 	0.101818
14 	1.813187 	1.735880 	0.042636
15 	1.720513 	1.657576 	0.036580
16 	1.590909 	1.562500 	0.017857
17 	1.470588 	1.470588 	0.000000
18 	1.777778 	1.743484 	0.019290
19 	1.736842 	1.688508 	0.027829
20 	1.700000 	1.685294 	0.008651
21 	1.619048 	1.611529 	0.004644
22 	1.705742 	1.681818 	0.014025
23 	1.631579 	1.629490 	0.001281
24 	1.701087 	1.694444 	0.003905
25 	1.640000 	1.633333 	0.004065
26 	1.744147 	1.709340 	0.019956
27 	1.679549 	1.659259 	0.012081
28 	1.863354 	1.663594 	0.107204
29 	1.799100 	1.728195 	0.039412
30 	1.773913 	1.712821 	0.034439
31 	1.700106 	1.677419 	0.013344
32 	1.687500 	1.655172 	0.019157
33 	1.696970 	1.650278 	0.027515
34 	1.705882 	1.681537 	0.014271
35 	1.685714 	1.667480 	0.010817
36 	1.694444 	1.675731 	0.011044
37 	1.702703 	1.667348 	0.020764
38 	1.657895 	1.657895 	0.000000
39 	1.641026 	1.625153 	0.009673
40 	1.650000 	1.628261 	0.013175
41 	1.634146 	1.617192 	0.010375
42 	1.595238 	1.595238 	0.000000
43 	1.581395 	1.561911 	0.012321
44 	1.613636 	1.592006 	0.013405
45 	1.577778 	1.577409 	0.000234
46 	1.565217 	1.562784 	0.001555
47 	1.553191 	1.534297 	0.012165
48 	1.520833 	1.519472 	0.000895
49 	1.510204 	1.496488 	0.009082
50 	1.480000 	1.480000 	0.000000
51 	1.470588 	1.463147 	0.005060
52 	1.442308 	1.437794 	0.003129
53 	1.452830 	1.424865 	0.019249
54 	1.462963 	1.453361 	0.006564
55 	1.545454 	1.463636 	0.052941
56 	1.571429 	1.555357 	0.010227
57 	1.578947 	1.555138 	0.015079
58 	1.620690 	1.595402 	0.015603
59 	1.627119 	1.606538 	0.012649
60 	1.600000 	1.599919 	0.000050
61 	1.590164 	1.578689 	0.007216
62 	1.564516 	1.564516 	0.000000
63 	1.571429 	1.557387 	0.008936
64 	1.546875 	1.546803 	0.000047
65 	1.615385 	1.542599 	0.045058
66 	1.590909 	1.574733 	0.010168
67 	1.567164 	1.558112 	0.005776
68 	1.573529 	1.566049 	0.004754
69 	1.550725 	1.550725 	0.000000
70 	1.571429 	1.560958 	0.006663
71 	1.605634 	1.563380 	0.026316
72 	1.583333 	1.583333 	0.000000
73 	1.630137 	1.580020 	0.030744
74 	1.635135 	1.627052 	0.004943
75 	1.626667 	1.617257 	0.005785
76 	1.684211 	1.660350 	0.014167
77 	1.662338 	1.662338 	-0.000000
78 	1.641026 	1.641026 	-0.000000
79 	1.658228 	1.646219 	0.007242
80 	1.675000 	1.653365 	0.012916
81 	1.654321 	1.645929 	0.005073
82 	1.658537 	1.652735 	0.003498
83 	1.698795 	1.652120 	0.027476
84 	1.702381 	1.695914 	0.003799
85 	1.741176 	1.697228 	0.025241
86 	1.767442 	1.749796 	0.009984
87 	1.770115 	1.747290 	0.012895
88 	1.772727 	1.764245 	0.004785
89 	1.786517 	1.765629 	0.011692
90 	1.811111 	1.792788 	0.010117
91 	1.813187 	1.796301 	0.009313
92 	1.858696 	1.834069 	0.013249
93 	1.860215 	1.843605 	0.008929
94 	1.840426 	1.840426 	-0.000000
95 	1.831579 	1.824024 	0.004125
96 	1.875000 	1.853941 	0.011231
97 	1.855670 	1.855670 	-0.000000
98 	1.836735 	1.836735 	-0.000000
99 	1.858586 	1.840719 	0.009613
100 	1.840000 	1.836334 	0.001992
101 	1.851485 	1.828618 	0.012351
102 	1.862745 	1.851618 	0.005973
103 	1.922330 	1.873980 	0.025152
104 	1.951923 	1.932835 	0.009779
105 	1.933333 	1.919728 	0.007037
106 	1.933962 	1.923754 	0.005278
107 	1.915888 	1.911341 	0.002373
108 	1.898148 	1.898148 	-0.000000
109 	1.899083 	1.890532 	0.004502
110 	1.890909 	1.890073 	0.000442
111 	1.909910 	1.881140 	0.015063
112 	1.937500 	1.917304 	0.010424
113 	1.920354 	1.920354 	-0.000000
114 	1.903509 	1.903509 	-0.000000
115 	1.904348 	1.896399 	0.004174
116 	1.896552 	1.892437 	0.002170
117 	1.905983 	1.885465 	0.010765
118 	1.889831 	1.889831 	-0.000000
119 	1.873950 	1.873950 	-0.000000
120 	1.875000 	1.866892 	0.004324
121 	1.876033 	1.858998 	0.009080
122 	1.893443 	1.885920 	0.003973
123 	1.894309 	1.882053 	0.006470
124 	1.879032 	1.879032 	-0.000000
125 	1.864000 	1.864000 	-0.000000
126 	1.873016 	1.864007 	0.004810
127 	1.858268 	1.858268 	-0.000000
128 	1.843750 	1.843750 	-0.000000
129 	1.837209 	1.832878 	0.002357
130 	1.846154 	1.830332 	0.008570
131 	1.854962 	1.840309 	0.007900
132 	1.840909 	1.840909 	-0.000000
133 	1.834586 	1.828013 	0.003583
134 	1.843284 	1.835621 	0.004157
135 	1.851852 	1.836154 	0.008477
136 	1.838235 	1.838235 	-0.000000
137 	1.839416 	1.829826 	0.005214
138 	1.826087 	1.826087 	-0.000000
139 	1.812950 	1.812950 	-0.000000
140 	1.821429 	1.819197 	0.001225
141 	1.836879 	1.811153 	0.014006
142 	1.823944 	1.823944 	-0.000000
143 	1.839161 	1.830378 	0.004776
144 	1.826389 	1.824851 	0.000842
145 	1.855172 	1.824463 	0.016553
146 	1.842466 	1.842466 	-0.000000
147 	1.857143 	1.841299 	0.008532
148 	1.851351 	1.845549 	0.003134
149 	1.838926 	1.838926 	-0.000000
150 	1.840000 	1.834470 	0.003006
