Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.003944	 0.003710	 0.000121	 0.000000	 0.000074	0.003944	 0.003710	 0.000121	 0.000000	 0.000074
2	 0.003785	 0.003564	 0.000114	 0.000000	 0.000062	0.007729	 0.007274	 0.000235	 0.000000	 0.000136
3	 0.003836	 0.003680	 0.000051	 0.000000	 0.000019	0.011565	 0.010954	 0.000286	 0.000000	 0.000155
4	 0.003354	 0.003104	 0.000091	 0.000000	 0.000110	0.014919	 0.014058	 0.000377	 0.000000	 0.000265
5	 0.003541	 0.003347	 0.000102	 0.000000	 0.000040	0.018460	 0.017405	 0.000479	 0.000000	 0.000305
6	 0.003281	 0.002984	 0.000104	 0.000000	 0.000108	0.021741	 0.020389	 0.000583	 0.000000	 0.000413
7	 0.003615	 0.003372	 0.000083	 0.000000	 0.000111	0.025356	 0.023761	 0.000666	 0.000000	 0.000524
8	 0.004005	 0.003795	 0.000104	 0.000000	 0.000044	0.029361	 0.027556	 0.000770	 0.000000	 0.000568
9	 0.002625	 0.002523	 0.000049	 0.000000	 0.000024	0.031986	 0.030079	 0.000819	 0.000000	 0.000592
10	 0.002831	 0.002682	 0.000075	 0.000000	 0.000040	0.034817	 0.032761	 0.000894	 0.000000	 0.000632
11	 0.002839	 0.002729	 0.000047	 0.000000	 0.000024	0.037656	 0.035490	 0.000941	 0.000000	 0.000656
12	 0.003125	 0.003028	 0.000043	 0.000000	 0.000023	0.040781	 0.038518	 0.000984	 0.000000	 0.000679
13	 0.003159	 0.002921	 0.000114	 0.000000	 0.000052	0.043940	 0.041439	 0.001098	 0.000000	 0.000731
14	 0.003848	 0.003725	 0.000050	 0.000000	 0.000024	0.047788	 0.045164	 0.001148	 0.000000	 0.000755
15	 0.002951	 0.002776	 0.000100	 0.000000	 0.000041	0.050739	 0.047940	 0.001248	 0.000000	 0.000796
16	 0.002702	 0.002608	 0.000031	 0.000000	 0.000018	0.053441	 0.050548	 0.001279	 0.000000	 0.000814
17	 0.002747	 0.002643	 0.000037	 0.000000	 0.000024	0.056188	 0.053191	 0.001316	 0.000000	 0.000838
18	 0.002554	 0.002444	 0.000049	 0.000000	 0.000024	0.058742	 0.055635	 0.001365	 0.000000	 0.000862
19	 0.002583	 0.002489	 0.000043	 0.000000	 0.000025	0.061325	 0.058124	 0.001408	 0.000000	 0.000887
20	 0.003121	 0.002952	 0.000090	 0.000000	 0.000039	0.064446	 0.061076	 0.001498	 0.000000	 0.000926
21	 0.003020	 0.002888	 0.000068	 0.000000	 0.000029	0.067466	 0.063964	 0.001566	 0.000000	 0.000955
22	 0.002934	 0.002672	 0.000115	 0.000000	 0.000049	0.070400	 0.066636	 0.001681	 0.000000	 0.001004
23	 0.002749	 0.002645	 0.000049	 0.000000	 0.000026	0.073149	 0.069281	 0.001730	 0.000000	 0.001030
24	 0.002733	 0.002571	 0.000072	 0.000000	 0.000046	0.075882	 0.071852	 0.001802	 0.000000	 0.001076
25	 0.002913	 0.002812	 0.000050	 0.000000	 0.000025	0.078795	 0.074664	 0.001852	 0.000000	 0.001101
26	 0.002649	 0.002512	 0.000060	 0.000000	 0.000043	0.081444	 0.077176	 0.001912	 0.000000	 0.001144
