"","X","Sheet.Pan.Skirt.Steak.With.Balsamic.Vinaigrette..Broccolini..and.White.Beans.","Navy.Bean.and.Escarole.Stew.with.Feta.and.Olives","Baked.Feta.and.Greens.with.Lemony.Yogurt","White.Chicken.Chili","Easy.General.Tso.s.Chicken","Easy.Green.Curry.with.Chicken..Bell.Pepper..and.Sugar.Snap.Peas.","Persian.Spiced.Chicken.with.Spaghetti.Squash..Pomegranate..and.Pistachios.","Summer.Corn..Tomato..and.Salmon.Salad.with.Za.atar.Dressing.","Pumpkin.Cheesecake.with.Bourbon__our.Cream.Topping","Curried.Lentil..Tomato..and.Coconut.Soup.","Curried.Pumpkin.Soup","Stuffed.Sweet.Potatoes.with.Beans.and.Guacamole","One.Pot.Curried.Cauliflower.with.Couscous.and.Chickpeas","Istanbul.Style.Wet.Burger..Islak.Burger.","Kale.Salad.with.Butternut.Squash..Pomegranate..and.Pumpkin.Seeds.","Persian.Chicken.with.Turmeric.and.Lime","Pumpkin.Spice.Bundt.Cake.with.Buttermilk.Icing","Sheet.Pan.Cumin.Chicken.Thighs.with.Squash..Fennel..and.Grapes.","Butternut.Squash..Kale..and.Crunchy.Pepitas.Taco.","Slow.Cooker.Pork.Shoulder.with.Zesty.Basil.Sauce"
"1",0,4,5,4.14876842915334,5,5,3.29099709714444,3.37118470394942,3,4.33615233599085,3.66360486035645,4.24398255432659,4.57378754624168,4.09495587508,4.114320061754,4.47963122404221,3.7113679346646,4,4.27091546752008,1,2.72459893358127
"2",1,3.19975963825966,3.79908089325769,3.73512679820938,3.66102615183091,3.6079508314131,2.99087941902661,3.04777018960905,3.49605677999159,3.5,3.31896853669965,3.80156950694444,5,3.6724227350243,3.70809437568615,4.02940060031819,5,1,4,3.29656307087649,2.49065326724403
"3",2,4,4.8820605637562,4.80715248007759,4,4.65102057703172,3.86959221743557,5,4.50602875711688,4.96822636277192,4.28650617032086,4.87869281271814,5.26720557515363,4.71611885844081,5,5.18327632390065,5,3,4.91437017058107,5,3.23282602293184
"4",3,3,5.08796420332627,5.01866859893809,5,5,4.06428211715872,4.11579652339823,5,5,5,5,5.484909342061,5,4.98883224051239,5.40820060758765,4.49350109878909,4.44066605516778,5.11572549335457,5,3.4079601899263
"5",4,4.37892918213919,5.11319836640246,5.05343950068342,5,4.9086635004916,4.11990659094428,5,4.75372198571946,5.17096956460615,4.54448037403121,5,5.50710699190819,4.93123572216991,5,5.44213806413222,4.52593540515154,4.46860829030211,5,4.47817966100811,3.46855248340464
"6",5,3.16627518454215,3.63198669771005,3.60985224713394,3.53322246021231,2,2.99935324647716,2.99488889975066,3.41397592659814,5,3.28781109135135,3.59917142078422,5,3.49386478304615,3.59919380822223,5,3.23570865248878,1,3.63338606847221,3.21281763416427,2
"7",6,4.1468897647092,5,4.7374247876109,4.63742958474752,5,5,3.92475678300488,5,4.78633877456074,3,4.73193077939725,5.12728968628568,4.59151050240709,5,5.09389668730942,4.24582696304559,5,4.7758503031047,2.333333333,3.33456198275039
"8",7,4.05572616856809,4.6299046031273,4.60877744224606,4.5100410597257,5,3.5,3.83251012851057,4.36502139066271,4.62492384973486,3,5,4.96987280492395,3,5,5,5,4.5,5,4.10669610716088,3.28655805014497
"9",8,5,4.72178414713758,4.70936894891195,5,4.61856400770379,3.95805535371715,3.92756646895439,5,4,4.32249636249209,4.66436067791885,5,4.53507311114133,5,5,4.22340532571442,5,4,3,3.3921565503725
"10",9,5,4,5,4.54628354527943,4.56970883524641,3.93628508798057,4,4.42008652828539,4.61061247250915,4,4.58364046229367,4.98131355130158,5,4.64517533369232,5,2,4.09534369721931,5,5,3.38793404756288
"11",10,4,4.50197330693747,4.51278289672218,4.41212221791774,4.44891517833121,2,3.79185364254531,4,4.44267065128699,5,4.42678960427625,4.8166649658393,4.314064101553,4,5,4.05005640773709,3.97242842803446,5,5,3.5
"12",11,5,4.9100776556015,5,3,5,4.20990595879971,4.13868630156382,4.69474664344547,4.84281091441853,5,4.82673406822305,5.25254129006898,5,4.92576674861747,5.27683703822475,4.41872497330625,5,4.88285637094334,4.41123914265888,3.64323678393409
"13",12,5,4.96379970991217,5,4.87325970988941,5,4,4.20167234754706,4.76174834316458,4.88101888088315,4.64702610793996,5,5.30570037852011,4.7522408593224,4.99148045603097,5.34069857724528,4.47580976066987,4.38593109342781,4.93054739373378,4.47286206890779,3.72071933532626
"14",13,3.53541754081457,3.80941230561422,3.86419820907017,3.77225016858769,3.85592214441404,4,5,3.7241006656109,3.67995802949377,5,3.70461583266987,4.05257359190887,3.63047913856915,3.88338451251007,4.12599029262335,3.47389324502592,3.3886679777585,2,3.49224105445153,2
"15",14,5,5,5,4.9826012295932,5.05603763477044,4.43285616345434,4.31973015225703,4.88635010704179,4.94478973764427,5,4.9502047488557,5.39942097555247,4.333333333,5,5,5,4.48138093738966,5.01405387290567,5,3.87081875350157
"16",15,4.26650929164335,4.62245774671414,5,4.57009322927144,4.66179482890721,4.1264124174944,3.99080623138794,5,5,4.43790093851418,5,4.92184215550448,4.40906326282339,5,5.00045498729591,2,4.1067995175411,4.5662109665843,4.22418679487459,3.63075388975453
"17",16,4.52278238655056,4.89626940360582,4.95893237304032,5,5,4.37547039635619,4.2298856753179,4.5,4.74334896360659,4.70457672815651,5,5.21273453624774,4.6696712563859,4.98057419283997,5.29758608034161,4,4.35083865540261,4.83582175267851,5,3.85152484368057
"18",17,5,5.09486334955408,5,5,5.14869051689134,4.56688875907987,4.5,4.97307731687964,4.92899112010361,4.90683333822241,4.95847813883885,5.42219600843476,5,5,5.515255654987,4,4.5296373046461,5.02934552256354,4.66409816908637,5
"19",18,4.38451745572864,5,4.75464135755388,5,4.76331175720902,4,4.08774375735607,4.59865817826753,5,5,5,4.95724535527171,4.44124607284682,4.78545920347854,5,4.27680068199814,3,5,4.30947513036089,2
"20",19,5,5.06978875022781,5,5.03414487746024,5.16417342004968,4.61757983987769,3,4.98606095035288,4.86932838322624,5,4.91568410911893,5.38518497917583,4.82457032869689,5,5.50279005444527,4.63992105187315,5,5,5,5
"21",20,2,4.49839889634201,4.60797164709177,4.49273394711847,4.64320200597872,5,3.99437459206824,4.48013297210591,4.26757866454248,4.47535523658587,4.33415661015353,4.76280517901993,4.5,4.5,4.90455196779041,4.14829181359866,5,4.40782102104142,5,3.5
"22",21,5,5.03567052201352,5,5.01855278913662,5,5,4.44511625034559,5,4,4.97262659900579,4.86322895594488,5,4.78272509515979,5,5.48122066154796,5,4.50200069869771,5,5,5
"23",22,3,3,4.73675866038621,5,4.7879971903407,5,3.5,5,5,4.63021235918606,4,4.87266779402459,5,4.78375284909094,5.03643101629214,5,4.13687374182942,4.50639976892414,5,4
"24",23,5,5,4.7389217618641,4.61732796803795,4,5,3,3,5,5,4.41130427082089,5,5,4.78969346325017,5,3.5,5,4.49236666172051,4.33000337376981,3.96559517863705
"25",24,4.11145037739993,2,4,4.1855138602029,5,3,3.79452852868625,5,3.83478712538215,4.28533988862673,3.9423321168436,5,3.90671546341222,5,5,3.87795881470354,3.74385436627925,4.02283264530217,3.95043154716792,4
"26",25,4.10351954565592,5,4.26852837437566,4.15350038117846,4.3679390043409,4.07632753116626,5,4.20818392677561,3.77451211178506,4.27802983132276,3.89122665085106,4,3.86169456890798,4.33123717780733,4.52016199135426,3.8512245954705,3.71321839896868,3.97371781173163,3.92963714827712,3.73273158508497
"27",26,4.68337553641984,5,4.92693155903399,5,5.01259215600495,4.62685436072172,4.32940953733573,4.8319840572538,2.666666667,4.88025475954134,4.54529078153173,5.01820626030445,5,4.98819014652178,5.22743942291099,4.44155212152853,5,5,4.5164811494794,4.203158789852
"28",27,4.84135309546807,5,5.09147444237777,5,5,4.78368687875504,4.47504543491566,4.99410332479324,4.58034579663905,4.5,4.5,5.18446757477278,5,5.15510746727449,5.40172102284727,4.58999452490392,5,4.78766011346002,4.66788616976411,4.3466419771936
"29",28,5,4.82353644024277,5.00560353130473,5,4.5,4.74243552168333,4,4.92262357331301,5,4.98890856358829,5,5.07434159497893,4.54775320690763,5,5.30554690663861,4.51445036701465,4.35828894709859,4.68289714901007,4.59887990995777,4
"30",29,4.64019398236848,4.61443421773737,5,4.68019554944256,4.93129471489616,4.61678576312094,4.2722933574169,4.5,4.23167744257874,5,4.37012552141137,4.84308610496814,4.34088144085708,4.88475697249909,5.09158533288311,5,4.18269434351768,4.46488565900707,4.43448175644078,4.23733842385657
"31",30,5,5,5.00228322141233,4.86661046265496,5,4.79595219856504,4.44022235584329,4.93767969964891,4.40453372162411,5.02735098173246,4.5471057904378,5.03837283796021,5,5.07846006866941,5.29474057274365,4.5141417442772,4.3495718898637,4.64527758630696,4.60979874138688,4.39984315804725
"32",31,5,4.74591035480649,5,4.5,5.09512085116131,5,4.41825224572589,4.9068937618516,4.33202130970682,5.0103157397443,4.48413412231363,5,4.45947808808722,5.04011313244705,5,4.47728337945376,4.5,4.58425384315961,4.57911459269181,4.40956194877792
"33",32,4.52829755919828,4.38232787726735,4,4.48241529735373,5,5,3,5,3.94206387577013,5,4.11043542652747,5,3,5,5,5,3.99877542682389,4,4.28081459091975,4.21961085726504
"34",33,4.89585467366036,5,5.02324400759072,5,5,5,3,4.98405178618007,5,5,4,4,4.49437239792383,5.1110329488513,5.30671218547249,5,5,5,5,5
"35",34,5,5,4.6787814840425,4.54417377687281,4.8564984207823,4.5,5,5,1,4.82546201032909,3.5,4.61630678363079,5,4.77381079459674,5,5,4.05108517854298,4.24299442666346,4.3529111526795,5
"36",35,4,5,4.82833111357139,4.68972179973519,5.0093015132076,4.79523717634988,5,4.81966913044957,4.08615328696056,4.97488979989418,4.27465547962757,5,4,4.9254697096264,5,5,4.18124275070721,4.38259114091656,4,4
"37",36,4.72482323815625,5,4,5,4.95012832776352,4.76704869562849,5,5,3.98053439137996,4.93236450826961,4,4,4.18730528134854,4.85741869995431,5.00677626153139,4.30125570984365,4.1135993718149,4,4.43356000961835,5
"38",37,4.55573093974643,4.25328674401875,5,4.40022307118665,5,4.61931412431384,4.14884769362356,4.56466370057188,3.7244201865516,4.7579000189835,3,4,4,4.64327597918124,4.76608718887615,4.1059369341753,3.91605379618163,5,4,4.35392295992946
