Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
1	 0.003462	 0.003190	 0.000148	 0.000000	 0.000085	0.003462	 0.003190	 0.000148	 0.000000	 0.000085
2	 0.002816	 0.002628	 0.000116	 0.000000	 0.000041	0.006278	 0.005818	 0.000264	 0.000000	 0.000126
3	 0.002688	 0.002603	 0.000035	 0.000000	 0.000024	0.008966	 0.008421	 0.000299	 0.000000	 0.000150
4	 0.002645	 0.002520	 0.000058	 0.000000	 0.000036	0.011611	 0.010941	 0.000357	 0.000000	 0.000186
5	 0.002908	 0.002827	 0.000031	 0.000000	 0.000024	0.014519	 0.013768	 0.000388	 0.000000	 0.000210
6	 0.003318	 0.003147	 0.000093	 0.000000	 0.000045	0.017837	 0.016915	 0.000481	 0.000000	 0.000255
7	 0.003638	 0.003468	 0.000070	 0.000000	 0.000065	0.021475	 0.020383	 0.000551	 0.000000	 0.000320
8	 0.003636	 0.003393	 0.000118	 0.000000	 0.000071	0.025111	 0.023776	 0.000669	 0.000000	 0.000391
9	 0.003595	 0.003488	 0.000042	 0.000000	 0.000030	0.028706	 0.027264	 0.000711	 0.000000	 0.000421
10	 0.003768	 0.003549	 0.000118	 0.000000	 0.000057	0.032474	 0.030813	 0.000829	 0.000000	 0.000478
11	 0.003838	 0.003709	 0.000051	 0.000000	 0.000034	0.036312	 0.034522	 0.000880	 0.000000	 0.000512
12	 0.004489	 0.004329	 0.000086	 0.000000	 0.000042	0.040801	 0.038851	 0.000966	 0.000000	 0.000554
13	 0.002722	 0.002630	 0.000036	 0.000000	 0.000029	0.043523	 0.041481	 0.001002	 0.000000	 0.000583
14	 0.003064	 0.002911	 0.000079	 0.000000	 0.000042	0.046587	 0.044392	 0.001081	 0.000000	 0.000625
15	 0.003293	 0.003179	 0.000043	 0.000000	 0.000032	0.049880	 0.047571	 0.001124	 0.000000	 0.000657
16	 0.003700	 0.003527	 0.000078	 0.000000	 0.000049	0.053580	 0.051098	 0.001202	 0.000000	 0.000706
17	 0.003529	 0.003430	 0.000039	 0.000000	 0.000029	0.057109	 0.054528	 0.001241	 0.000000	 0.000735
18	 0.003081	 0.002927	 0.000076	 0.000000	 0.000035	0.060190	 0.057455	 0.001317	 0.000000	 0.000770
19	 0.002796	 0.002702	 0.000035	 0.000000	 0.000028	0.062986	 0.060157	 0.001352	 0.000000	 0.000798
20	 0.003250	 0.003114	 0.000061	 0.000000	 0.000042	0.066236	 0.063271	 0.001413	 0.000000	 0.000840
21	 0.003155	 0.003060	 0.000048	 0.000000	 0.000024	0.069391	 0.066331	 0.001461	 0.000000	 0.000864
22	 0.003435	 0.003271	 0.000080	 0.000000	 0.000046	0.072826	 0.069602	 0.001541	 0.000000	 0.000910
23	 0.002925	 0.002795	 0.000042	 0.000000	 0.000037	0.075751	 0.072397	 0.001583	 0.000000	 0.000947
24	 0.003769	 0.003599	 0.000064	 0.000000	 0.000046	0.079520	 0.075996	 0.001647	 0.000000	 0.000993
25	 0.003127	 0.002993	 0.000073	 0.000000	 0.000030	0.082647	 0.078989	 0.001720	 0.000000	 0.001023
26	 0.002727	 0.002581	 0.000068	 0.000000	 0.000043	0.085374	 0.081570	 0.001788	 0.000000	 0.001066
27	 0.002671	 0.002572	 0.000045	 0.000000	 0.000027	0.088045	 0.084142	 0.001833	 0.000000	 0.001093
28	 0.002838	 0.002694	 0.000063	 0.000000	 0.000044	0.090883	 0.086836	 0.001896	 0.000000	 0.001137
29	 0.002716	 0.002627	 0.000034	 0.000000	 0.000027	0.093599	 0.089463	 0.001930	 0.000000	 0.001164
30	 0.003402	 0.003267	 0.000051	 0.000000	 0.000038	0.097001	 0.092730	 0.001981	 0.000000	 0.001202
31	 0.003434	 0.003260	 0.000067	 0.000000	 0.000056	0.100435	 0.095990	 0.002048	 0.000000	 0.001258
32	 0.003393	 0.003227	 0.000092	 0.000000	 0.000044	0.103828	 0.099217	 0.002140	 0.000000	 0.001302
33	 0.002635	 0.002517	 0.000056	 0.000000	 0.000032	0.106463	 0.101734	 0.002196	 0.000000	 0.001334
34	 0.003251	 0.003123	 0.000056	 0.000000	 0.000039	0.109714	 0.104857	 0.002252	 0.000000	 0.001373
35	 0.002728	 0.002624	 0.000047	 0.000000	 0.000029	0.112442	 0.107481	 0.002299	 0.000000	 0.001402
36	 0.003097	 0.002906	 0.000098	 0.000000	 0.000059	0.115539	 0.110387	 0.002397	 0.000000	 0.001461
37	 0.002775	 0.002671	 0.000048	 0.000000	 0.000029	0.118314	 0.113058	 0.002445	 0.000000	 0.001490
38	 0.003043	 0.002871	 0.000096	 0.000000	 0.000044	0.121357	 0.115929	 0.002541	 0.000000	 0.001534
39	 0.003346	 0.003252	 0.000036	 0.000000	 0.000028	0.124703	 0.119181	 0.002577	 0.000000	 0.001562
40	 0.002842	 0.002678	 0.000071	 0.000000	 0.000050	0.127545	 0.121859	 0.002648	 0.000000	 0.001612
41	 0.003040	 0.002924	 0.000058	 0.000000	 0.000027	0.130585	 0.124783	 0.002706	 0.000000	 0.001639
42	 0.003399	 0.003248	 0.000063	 0.000000	 0.000042	0.133984	 0.128031	 0.002769	 0.000000	 0.001681
43	 0.002644	 0.002553	 0.000036	 0.000000	 0.000028	0.136628	 0.130584	 0.002805	 0.000000	 0.001709
44	 0.002835	 0.002701	 0.000058	 0.000000	 0.000042	0.139463	 0.133285	 0.002863	 0.000000	 0.001751
45	 0.003081	 0.002972	 0.000054	 0.000000	 0.000027	0.142544	 0.136257	 0.002917	 0.000000	 0.001778
46	 0.003073	 0.002930	 0.000066	 0.000000	 0.000044	0.145617	 0.139187	 0.002983	 0.000000	 0.001822
47	 0.003201	 0.003107	 0.000042	 0.000000	 0.000023	0.148818	 0.142294	 0.003025	 0.000000	 0.001845
48	 0.003352	 0.003191	 0.000068	 0.000000	 0.000054	0.152170	 0.145485	 0.003093	 0.000000	 0.001899
49	 0.003035	 0.002947	 0.000035	 0.000000	 0.000026	0.155205	 0.148432	 0.003128	 0.000000	 0.001925
50	 0.003200	 0.003079	 0.000052	 0.000000	 0.000041	0.158405	 0.151511	 0.003180	 0.000000	 0.001966
